"id","ident","estimated_departure_time","estimated_arrival_time","origin","destination","seats_cabin_first","seats_cabin_business","seats_cabin_coach","created_at","updated_at","flightaware_call_type"
1986051,"SWA3796","2018-07-15 22:25:00","2018-07-15 23:50:00","KPIT","KMDW",0,0,143,"2018-07-13 20:00:57.763971","2018-07-13 20:00:57.763971","AirlineFlightSchedules"
1986052,"UAL374","2018-07-15 10:25:00","2018-07-15 11:17:00","KPIT","KIAD",16,0,138,"2018-07-13 20:00:58.727809","2018-07-13 20:00:58.727809","AirlineFlightSchedules"
1986053,"SWA4870","2018-07-15 18:15:00","2018-07-15 19:40:00","KPIT","KMDW",0,0,143,"2018-07-13 20:00:58.736498","2018-07-13 20:00:58.736498","AirlineFlightSchedules"
1986054,"SWA5901","2018-07-15 11:20:00","2018-07-15 12:45:00","KPIT","KMDW",0,0,143,"2018-07-13 20:00:58.744312","2018-07-13 20:00:58.744312","AirlineFlightSchedules"
1986055,"SWA5192","2018-07-16 00:05:00","2018-07-16 01:25:00","KPIT","KMDW",0,0,143,"2018-07-13 20:00:58.752257","2018-07-13 20:00:58.752257","AirlineFlightSchedules"
1986056,"DAL1295","2018-07-15 15:22:00","2018-07-15 17:02:00","KPIT","KATL",16,0,133,"2018-07-13 20:00:58.7601","2018-07-13 20:00:58.7601","AirlineFlightSchedules"
1986057,"SWA4650","2018-07-15 09:35:00","2018-07-15 12:10:00","KPIT","KFLL",0,0,143,"2018-07-13 20:00:59.604131","2018-07-13 20:00:59.604131","AirlineFlightSchedules"
1986058,"FDY1794","2018-07-15 20:00:00","2018-07-15 21:20:00","KPIT","KMDT",0,0,9,"2018-07-13 20:00:59.615287","2018-07-13 20:00:59.615287","AirlineFlightSchedules"
1986059,"SWA5057","2018-07-15 10:00:00","2018-07-15 12:10:00","KPIT","KMCO",0,0,143,"2018-07-13 20:00:59.626611","2018-07-13 20:00:59.626611","AirlineFlightSchedules"
1986060,"SWA5113","2018-07-15 17:35:00","2018-07-15 19:50:00","KPIT","KMCO",0,0,143,"2018-07-13 20:00:59.637656","2018-07-13 20:00:59.637656","AirlineFlightSchedules"
1986061,"AAY1414","2018-07-15 16:39:00","2018-07-15 18:58:00","KPIT","KSRQ",0,0,156,"2018-07-13 20:01:00.560613","2018-07-13 20:01:00.560613","AirlineFlightSchedules"
1986062,"DAL1624","2018-07-15 12:00:00","2018-07-15 16:20:00","KPIT","KSLC",12,0,114,"2018-07-13 20:01:00.568632","2018-07-13 20:01:00.568632","AirlineFlightSchedules"
1986063,"SWA3262","2018-07-15 22:55:00","2018-07-16 01:10:00","KPIT","KMCO",0,0,143,"2018-07-13 20:01:00.576716","2018-07-13 20:01:00.576716","AirlineFlightSchedules"
1986064,"DAL1462","2018-07-15 22:41:00","2018-07-16 00:26:00","KPIT","KATL",16,0,133,"2018-07-13 20:01:01.45954","2018-07-13 20:01:01.45954","AirlineFlightSchedules"
1986065,"NKS721","2018-07-15 11:25:00","2018-07-15 13:36:00","KPIT","KMCO",0,10,135,"2018-07-13 20:01:01.467713","2018-07-13 20:01:01.467713","AirlineFlightSchedules"
1986066,"JBU2007","2018-07-15 10:30:00","2018-07-15 13:08:00","KPIT","KFLL",0,16,132,"2018-07-13 20:01:01.475576","2018-07-13 20:01:01.475576","AirlineFlightSchedules"
1986067,"SWA5335","2018-07-15 20:30:00","2018-07-15 22:45:00","KPIT","KMCO",0,0,175,"2018-07-13 20:01:01.490713","2018-07-13 20:01:01.490713","AirlineFlightSchedules"
1986068,"FDY994","2018-07-15 19:30:00","2018-07-15 20:50:00","KPIT","KLNS",0,0,9,"2018-07-13 20:01:02.555963","2018-07-13 20:01:02.555963","AirlineFlightSchedules"
1986069,"NKS577","2018-07-15 11:08:00","2018-07-15 13:46:00","KPIT","KFLL",0,10,135,"2018-07-13 20:01:02.564172","2018-07-13 20:01:02.564172","AirlineFlightSchedules"
1986070,"DAL1939","2018-07-15 19:12:00","2018-07-15 20:57:00","KPIT","KATL",16,0,133,"2018-07-13 20:01:02.573218","2018-07-13 20:01:02.573218","AirlineFlightSchedules"
1986071,"AAL2103","2018-07-15 22:07:00","2018-07-15 23:34:00","KPIT","KPHL",8,0,120,"2018-07-13 20:01:02.582353","2018-07-13 20:01:02.582353","AirlineFlightSchedules"
1986072,"AAL1986","2018-07-15 15:16:00","2018-07-15 16:35:00","KPIT","KPHL",0,11,88,"2018-07-13 20:01:03.455302","2018-07-13 20:01:03.455302","AirlineFlightSchedules"
1986073,"DAL2174","2018-07-15 23:55:00","2018-07-16 01:38:00","KPIT","KATL",16,0,133,"2018-07-13 20:01:03.464604","2018-07-13 20:01:03.464604","AirlineFlightSchedules"
1986074,"AAY1404","2018-07-15 10:30:00","2018-07-15 12:51:00","KPIT","KPGD",0,0,156,"2018-07-13 20:01:03.473647","2018-07-13 20:01:03.473647","AirlineFlightSchedules"
1986075,"SWA4621","2018-07-15 10:35:00","2018-07-15 11:40:00","KPIT","KBWI",0,0,143,"2018-07-13 20:01:03.48295","2018-07-13 20:01:03.48295","AirlineFlightSchedules"
1986076,"SWA3228","2018-07-15 22:10:00","2018-07-15 23:10:00","KPIT","KBWI",0,0,143,"2018-07-13 20:01:03.493346","2018-07-13 20:01:03.493346","AirlineFlightSchedules"
1986077,"JBU1986","2018-07-15 09:30:00","2018-07-15 11:03:00","KPIT","KBOS",0,0,100,"2018-07-13 20:01:04.38015","2018-07-13 20:01:04.38015","AirlineFlightSchedules"
1986078,"DAL124","2018-07-15 23:50:00","2018-07-16 07:25:00","KPIT","LFPG",0,36,172,"2018-07-13 20:01:05.411465","2018-07-13 20:01:05.411465","AirlineFlightSchedules"
1986079,"AAY1416","2018-07-15 22:44:00","2018-07-16 00:19:00","KPIT","KCHS",0,0,156,"2018-07-13 20:01:05.421512","2018-07-13 20:01:05.421512","AirlineFlightSchedules"
1986080,"AAL1824","2018-07-15 12:33:00","2018-07-15 14:05:00","KPIT","KCLT",8,0,120,"2018-07-13 20:01:05.430712","2018-07-13 20:01:05.430712","AirlineFlightSchedules"
1986081,"DAL1277","2018-07-15 10:40:00","2018-07-15 11:50:00","KPIT","KDTW",16,0,142,"2018-07-13 20:01:05.440063","2018-07-13 20:01:05.440063","AirlineFlightSchedules"
1986082,"FDY696","2018-07-15 19:30:00","2018-07-15 20:40:00","KPIT","KHGR",0,0,9,"2018-07-13 20:01:05.449658","2018-07-13 20:01:05.449658","AirlineFlightSchedules"
1986083,"AAL1926","2018-07-15 18:01:00","2018-07-15 19:30:00","KPIT","KCLT",8,0,120,"2018-07-13 20:01:05.461067","2018-07-13 20:01:05.461067","AirlineFlightSchedules"
1986084,"JBU1886","2018-07-16 00:21:00","2018-07-16 01:52:00","KPIT","KBOS",0,0,100,"2018-07-13 20:01:05.47159","2018-07-13 20:01:05.47159","AirlineFlightSchedules"
1986085,"NKS334","2018-07-15 06:00:00","2018-07-15 10:08:00","KLAS","KPIT",0,10,135,"2018-07-13 20:01:06.396686","2018-07-13 20:01:06.396686","AirlineFlightSchedules"
1986086,"NKS658","2018-07-15 06:59:00","2018-07-15 11:35:00","KLAX","KPIT",0,10,135,"2018-07-13 20:01:06.405148","2018-07-13 20:01:06.405148","AirlineFlightSchedules"
1986087,"UAL1728","2018-07-15 05:44:00","2018-07-15 10:34:00","KSFO","KPIT",8,0,159,"2018-07-13 20:01:06.41341","2018-07-13 20:01:06.41341","AirlineFlightSchedules"
1986088,"FDY1071","2018-07-15 13:00:00","2018-07-15 13:40:00","KFKL","KPIT",0,0,9,"2018-07-13 20:01:06.421582","2018-07-13 20:01:06.421582","AirlineFlightSchedules"
1986089,"FDY1075","2018-07-15 18:10:00","2018-07-15 18:55:00","KFKL","KPIT",0,0,9,"2018-07-13 20:01:06.430159","2018-07-13 20:01:06.430159","AirlineFlightSchedules"
1986090,"SWA5271","2018-07-16 01:45:00","2018-07-16 04:25:00","KFLL","KPIT",0,0,143,"2018-07-13 20:01:06.438673","2018-07-13 20:01:06.438673","AirlineFlightSchedules"
1986091,"NKS558","2018-07-16 00:45:00","2018-07-16 03:19:00","KFLL","KPIT",0,10,135,"2018-07-13 20:01:06.446889","2018-07-13 20:01:06.446889","AirlineFlightSchedules"
1986092,"SWA5113","2018-07-15 15:30:00","2018-07-15 16:55:00","KBNA","KPIT",0,0,143,"2018-07-13 20:01:06.455121","2018-07-13 20:01:06.455121","AirlineFlightSchedules"
1986093,"JBU2008","2018-07-16 00:10:00","2018-07-16 02:47:00","KFLL","KPIT",0,16,132,"2018-07-13 20:01:06.463695","2018-07-13 20:01:06.463695","AirlineFlightSchedules"
1986094,"SWA3902","2018-07-15 23:00:00","2018-07-16 00:25:00","KBNA","KPIT",0,0,143,"2018-07-13 20:01:07.334279","2018-07-13 20:01:07.334279","AirlineFlightSchedules"
1986095,"FDY691","2018-07-15 21:00:00","2018-07-15 22:05:00","KHGR","KPIT",0,0,9,"2018-07-13 20:01:07.34258","2018-07-13 20:01:07.34258","AirlineFlightSchedules"
1986096,"SWA3262","2018-07-15 19:35:00","2018-07-15 22:20:00","KHOU","KPIT",0,0,143,"2018-07-13 20:01:07.350769","2018-07-13 20:01:07.350769","AirlineFlightSchedules"
1986097,"UAL1979","2018-07-16 02:25:00","2018-07-16 03:20:00","KIAD","KPIT",8,0,159,"2018-07-13 20:01:07.358873","2018-07-13 20:01:07.358873","AirlineFlightSchedules"
1986098,"UAL2229","2018-07-15 16:22:00","2018-07-15 21:10:00","KSFO","KPIT",8,0,138,"2018-07-13 20:01:07.367337","2018-07-13 20:01:07.367337","AirlineFlightSchedules"
1986099,"JBU1785","2018-07-16 02:07:00","2018-07-16 03:47:00","KBOS","KPIT",0,0,100,"2018-07-13 20:01:07.375643","2018-07-13 20:01:07.375643","AirlineFlightSchedules"
1986100,"DAL1072","2018-07-16 02:40:00","2018-07-16 04:30:00","KATL","KPIT",20,0,160,"2018-07-13 20:01:08.32306","2018-07-13 20:01:08.32306","AirlineFlightSchedules"
1986101,"DAL2765","2018-07-16 00:00:00","2018-07-16 01:50:00","KATL","KPIT",20,0,160,"2018-07-13 20:01:08.333183","2018-07-13 20:01:08.333183","AirlineFlightSchedules"
1986102,"DAL2174","2018-07-15 21:20:00","2018-07-15 23:15:00","KATL","KPIT",16,0,133,"2018-07-13 20:01:08.342581","2018-07-13 20:01:08.342581","AirlineFlightSchedules"
1986103,"DAL1462","2018-07-15 20:12:00","2018-07-15 22:01:00","KATL","KPIT",16,0,133,"2018-07-13 20:01:08.35498","2018-07-13 20:01:08.35498","AirlineFlightSchedules"
1986104,"DAL1549","2018-07-15 18:33:00","2018-07-15 20:13:00","KATL","KPIT",16,0,133,"2018-07-13 20:01:09.320476","2018-07-13 20:01:09.320476","AirlineFlightSchedules"
1986105,"DAL1295","2018-07-15 12:56:00","2018-07-15 14:42:00","KATL","KPIT",16,0,133,"2018-07-13 20:01:09.331677","2018-07-13 20:01:09.331677","AirlineFlightSchedules"
1986106,"AAY1413","2018-07-15 21:31:00","2018-07-15 23:40:00","KSFB","KPIT",0,0,166,"2018-07-13 20:01:09.341707","2018-07-13 20:01:09.341707","AirlineFlightSchedules"
1986107,"JBU1485","2018-07-15 14:35:00","2018-07-15 16:21:00","KBOS","KPIT",0,0,100,"2018-07-13 20:01:10.346703","2018-07-13 20:01:10.346703","AirlineFlightSchedules"
1986108,"JBU1685","2018-07-15 19:00:00","2018-07-15 20:47:00","KBOS","KPIT",0,0,100,"2018-07-13 20:01:10.357876","2018-07-13 20:01:10.357876","AirlineFlightSchedules"
1986109,"UAL2339","2018-07-15 23:35:00","2018-07-16 02:20:00","KIAH","KPIT",8,0,120,"2018-07-13 20:01:10.368986","2018-07-13 20:01:10.368986","AirlineFlightSchedules"
